Task_id,Task_name,Task_message1,Game_player_dialogue1,Task_message2,Game_player_dialogue2,Task_message3,Game_player_dialogue3,Task_message4,Game_player_dialogue4,Task_Need_Npc1,Task_message5,Game_player_dialogue5,Task_message6,Game_player_dialogue6,Task_message7,Game_player_dialogue7,Task_message8,Game_player_dialogue8,Task_Need_Npc2,Task_message9,Game_player_dialogue9,Task_message10,Game_player_dialogue10,Task_message11,Game_player_dialogue11,Task_message12,Game_player_dialogue12,Task_Need_Npc3,Task_message13,Game_player_dialogue13,Task_message14,Game_player_dialogue14,Task_message15,Game_player_dialogue15,Task_message16,Game_player_dialogue16,Task_Need_Npc4,Task_Need_Monster_1,Task_Need_Monster_1_num,Task_Need_Monster_2,Task_Need_Monster_2_num,Task_Need_Monster_3,Task_Need_Monster_3_num,Task_Need_Item_1,Task_Need_Item_1_num,Task_Need_Item_2,Task_Need_Item_2_num,Task_Need_Item_3,Task_Need_Item_3_num,Task_Exp,Task_Money,Task_ZY,Task_Item_1,Task_Item_1_num,Task_Item_2,Task_Item_2_num,Task_Item_3,Task_Item_3_num,Task_Item_4,Task_Item_4_num,Task_Level,Task_Q1MissionID,Task_Q2MissionID,Task_Type,Task_Over_Missage,Game_player_dialogue17,Task_Over_Npc_ID,Copy_Id,,
1001,疑惑？,小心，我扶你。。。,这。。。。是哪里？,终于醒了，这里是杰欧姆村，我叫妮娜,杰欧姆村。。。。？？？？我还在法鲁西翁王国？,法鲁西翁王国？你说的是这个名字吗？真奇怪，你怎么会知道这个名字，我小时候听我爷爷说起过这个名字。。。那是几百年前传说中存在过的国度。,什么。。传说中。。。。几百年前的国度。。（心里暗想，难道因为漩涡的关系发生时空错乱穿越到了未来。。）,,,1001,,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,705,705,0,0,0,0,0,0,0,0,0,0,0,0,1,可能你受伤太重。开始说胡话了，再休息一下吧,好吧。。。。。。,1001,101,,
1002,妮娜的请求,最近外出的村民经常会被狼袭击，你能帮我去驱赶他们吗?,好的，为了感谢你们治好我的伤，我这就去驱赶他们.,,,0,0,0,0,1001,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,1195,1195,0,0,0,0,0,0,0,0,0,0,1001,0,5,这样村民外出就安全了！,0,1001,102,,
1003,补品！,单纯的休息还是无法让你快速恢复体力的，去密林深处收集狼的关键部位来为你补下身体吧！,。。。关键。。部位？？？,你懂的！,不会是。。。。,心里明白就可以啦，人生已经如此艰难，就不要拆穿啦！,玩家：。。。。。。,0,0,1001,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10002,0,0,0,0,0,40000,2,0,0,0,0,2150,2150,0,0,0,0,0,0,0,0,0,0,1002,0,3,这可是大补啊，你要多吃点!,0,1001,102,,
1004,猖狂的野猪,最近村子附近出现了不少的野猪，并有袭击村民的事件发生，你去帮我消灭些野猪吧。,百年修得同船渡，千年修得和你识，这就动身！,,,0,0,0,0,1001,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10004,3,0,0,0,0,0,0,0,0,0,0,3710,3710,0,0,0,0,0,0,0,0,0,0,1003,0,2,恩，这样就可以安心点了！,0,1001,103,,
1005,占卜？,如果你想知道现在村子外面的情况或者你想占卜下你之后的祸福，你可以去问一下我们村子内的先知。,先知。。。。？他什么都知道吗,那当然啊，上知天文下晓地理，可能上辈子是天上的文曲星吧，嘿嘿。,那么厉害啊，那我一定要去拜会下这位高人。,别急，我先给你封信还有我的贴身手帕，不然他可不会帮陌生人，准确来说是除了我以外的人，哈哈！,算你还有良心。。那么多事情没帮你白做。,切！你以为我是你啊。。。,好吧，是我以小人之心度君子之腹了。,1001,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40001,1,40002,1,0,0,6040,6040,0,0,0,0,0,0,0,0,0,0,1004,0,4,我看到手帕就知道你是妮娜的朋友了，冥冥之中你这一生会十分曲折坎坷，会经历很多困苦，不过人定能胜天，你也要相信你自己能够闯过去的。,十分感谢。。。,1011,0,,
1006,五花肉,既然帮你占卜了，你也要帮我做件事情，我想吃烤肉了，你去帮我找些猪肉回来吧，猪肉可以从密林深处的野猪身上获取，我要的部位是猪的臀部哦！ ,怪事年年有，今年特别多。。。。为什么一定要臀部的肉。。（一脸惊呆样）,猪臀部的肉可都是活肉啊。。。它们每天运动最多的地方就是臀部了。,。。你以为它们天天做健美操嘛。。。左扭扭右扭扭。。。,你答对了，我就是这么想的，哈哈，快去吧,好吧。。真是奇怪的嗜好。,0,0,1011,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10004,0,0,0,0,0,40003,2,0,0,0,0,9280,9280,0,0,0,0,0,0,0,0,0,0,1005,0,3,中国大妈要是像你那么效率，就不会亏了。。。。,0,1011,103,,
1007,丢失的狼牙棒,哎呀。。。。我的狼牙棒怎么不见了！,狼牙棒。。你还用狼牙棒？,之前去密林采蘑菇的时候带这防身用的。,好吧。。。对付野猪都用起狼牙棒了。活该野猪倒霉了。,你替我去次密林深处把狼牙棒找回来吧。,好的，我这就去！,0,0,1001,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,40004,1,0,0,0,0,13575,13575,0,0,0,0,0,0,0,0,0,0,1006,0,3,哎呀呀，我的宝贝狼牙棒终于找回来了。。。。。,0,1001,103,,
1008,爱心梳子,帮我把这把梳子送给妮娜。,无事献殷勤非奸即盗啊！,臭小子，哪来那么多事。。。。这把梳子可是用稀有木桩怪的树枝做成的，好用着呢！,真是下功夫了。。。。我替你带过去吧。,0,0,0,0,1011,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40005,1,0,0,0,0,19080,19080,0,0,0,0,0,0,0,0,0,0,1007,0,4,哟，好一把做工精细的梳子啊！,0,1001,,,
1009,特殊的偏好,我最近很偏爱黄瓜，听说密林深处附近孕育的黄瓜集天地之精华，你去密林深处采集点黄瓜带给我。,。。黄瓜？。。我这就去看下,速去速回吧!,0,0,0,0,0,1001,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40006,1,0,0,0,0,25940,25940,0,0,0,0,0,0,0,0,0,0,1008,0,3,这黄瓜看上去真水灵啊！,水灵的黄瓜。。。。。。（沉思状）,1001,103,,
1010,榴莲。。嗯！,听说在木桩怪的身上带着榴莲，你去替我拿些回来。,榴莲。。。。。这东西味道太难闻。。作为一个美女，你居然还有这个嗜好啊。,榴莲不一定要用来吃啊。。。。。,不明觉厉。。。。。我现在去吧！,0,0,0,0,1001,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10005,0,0,0,0,0,40007,1,0,0,0,0,34295,34295,0,0,0,0,0,0,0,0,0,0,1009,0,3,嘿嘿。。。。（脸红）终于又有榴莲了。。,0,1001,103,,
1011,可怕的事实,真可恶，有个村民被一只巨大的蝎子蛰伤了，据村民的回忆，那只蝎子好像是从荒芜洞窟中出来的，去狠狠教训下那些可恶的蝎子！,竟敢威胁到村民的安全，我一定彻底清除它们。,,0,0,0,0,0,1009,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,44290,44290,0,0,0,0,0,0,0,0,0,0,1010,0,5,事情真是麻烦了，居然有那么恐怖的魔物。。。。（陷入沉思）,0,1009,104,,
1012,烈焰之环先知的角,肯定有魔族在荒芜洞窟，才会发生这种情况，你去调查一下。,我这就行动!,,0,0,0,0,0,1009,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10010,0,0,0,0,0,40008,1,0,0,0,0,56065,56065,0,0,0,0,0,0,0,0,0,0,1011,0,2,果然是有魔族。。。这形势不妙啊。,那货还想让我加入他们，我十分感动，最后拒绝了他！,1009,104,,
1013,雷利镇,你去把杰欧姆村附近出现魔族的信息告诉雷利镇的修特，让他通知王国军队。雷利镇在杰欧姆村的东边。,感觉路途好远啊！,你要知道你对我们是很重要的，这事只能靠你了。,是我重你也要吧。。既然你都这么说了，我这就去, ,,,0,1001,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,69765,69765,0,0,0,0,0,0,0,0,0,0,1012,0,1,什么？！杰欧姆村出现魔族了？确认吗？,是的，我亲眼所见！,1002,2,,
1014,幽灵,"最近在有人在精灵湖的附近发现了幽灵，据传说在精灵之湖存在着湖之精灵，你去问下小镇老者，他对湖之精灵的了解应该比我多。
",好累啊，又要跑腿了，我觉得我不会再爱上别人了！,,,,,,,1002,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,85530,85530,0,0,0,0,0,0,0,0,0,0,1013,0,1,什么？在精灵之湖发现了类似幽灵的生物。。。难道传说是真的！？据传说湖之精灵偶尔会被人类发现，一般都是在夜晚出现在湖泊中，那是相当有灵性的生物，具有相当强的魔法力量，没想到又有人见到了。。。真是不可思议！,原来是这样！,1012,0,,
1015,爱之短裤,我前几天在精灵之湖附近闲逛，在那遗失了我一件重要的东西，你替我去找回来吧，是一条裤（裤子上有着修特亲笔写着的我爱妮娜字样）,我这就行动。,,0,0,0,0,0,1002,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40009,1,0,0,0,0,103495,103495,0,0,0,0,0,0,0,0,0,0,1014,0,3,我的心爱之物啊，终于又看到你了。。。。,。。。。。。这个是什么恶趣味，居然将表白的字写在裤子上。。。还好不是。。（汗状）,1002,1004,,
1016,独角兽的哀嚎,你能帮忙收集一些腐化水晶独角兽身上的水晶吗，只有研究了这些受到污染的水晶，才能知道到底谁是幕后黑手。,在洞窟中看到难受哀嚎的它们，我心里也不好受，我立刻出发！,,0,0,0,0,0,1002,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10012,0,0,0,0,0,40010,2,0,0,0,0,123800,123800,0,0,0,0,0,0,0,0,0,0,1015,0,3,果不其然，这些水晶上弥漫着邪恶的死亡气息。。。。（陷入沉思),0,1002,1005,,
1017,大自然的使者,离水晶洞窟不远处有个死亡森林，那世代居住着大自然的使者――树人，请你问我去看一下他们的情况。。,义不容辞！,,0,0,0,0,0,1002,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10014,2,0,0,0,0,,0,0,0,0,0,146580,146580,0,0,0,0,0,0,0,0,0,0,1016,0,2,连他们也抵御不住魔族的污染。。。。。。。。。。。。。。。,0,1002,1006,,
1018,初探紫晶之窟,魔族可能藏匿在死亡森林北边的紫晶之窟中，请你去探索一下，千万要小心!,一定要找出可恶的魔族！,,0,0,0,0,0,1010,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10017,3,0,0,0,0,,0,0,0,0,0,171975,171975,0,0,0,0,0,0,0,0,0,0,1017,0,2,真是令人毛骨悚然的怪物。。。。。。,0,1010,1007,,
1019,罪魁祸首,就是恶魔巫师捣的鬼。。。请务必除掉他。,绝对不会放过他！,,0,0,0,0,0,1010,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10018,1,0,0,0,0,,0,0,0,0,0,200115,200115,0,0,0,0,0,0,0,0,0,0,1018,0,2,终于干掉他了！,0,1010,1007,,
1020,勇猛的巨熊,在斯特拉隆姆高地上存在着巨大的熊，他们勇猛善战，最近由于魔族的复苏，我很担心他们是否会被腐化，替我去调查一下吧，并把调查的信息告诉边境商人达夫。,他们不发威是不是就和HELLO KITTY一样。。。,你去见识下就知道了。,0,0,0,0,0,1002,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,,0,0,0,0,0,231140,231140,0,0,0,0,0,0,0,0,0,0,1019,0,5,不幸中的万幸。。他们暂时看起来还很正常。,确实！,1010,1008,,
1021,巨熊之血,一个远道而来的旅行者看上去中了魔族的毒，情况不妙，请帮我收集些巨熊的血，巨熊可以在小镇西方的斯特拉隆姆高地找到。,丧心病狂的魔族！,,0,0,0,0,0,1010,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10020,0,0,0,0,0,40011,2,0,0,0,0,265175,265175,0,0,0,0,0,0,0,0,0,0,1020,0,3,真勇猛！巨熊都不是你的对手！,0,1010,1008,,
1022,巨熊之胆,有了巨熊之血，还需要巨熊之胆，去带点回来吧。,熊胆、熊血，这些都是大补的东西啊。。他们中毒的躯体能承受的吗？,你放心绝对不会有副作用的！,好的，我就尝试相信你一次。,0,0,0,0,1010,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10020,0,0,0,0,0,40012,2,0,0,0,0,302355,302355,0,0,0,0,0,0,0,0,0,0,1021,0,3,这样一来两味最重要的药就齐全了，太好了！,0,1010,1008,,
1023,蝙蝠的牙齿,有了两味主药，还需要点其他材料，比如蝙蝠的牙齿，走下斯特拉隆姆高地可以看见一个洞窟，那是秘银矿洞，可以在矿洞中找到蝙蝠。,蝙蝠牙齿还能能入药？元芳，你怎么看？,,0,0,0,0,0,1010,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10022,0,0,0,0,0,40013,3,0,0,0,0,342810,342810,0,0,0,0,0,0,0,0,0,0,1022,0,3,这样中毒的人就有希望了！,0,1010,1009,,
1024,变异的鳄鱼,在秘银矿洞中还有一种变异的鳄鱼，它的尾巴也是我需要的药材。你愿意再去一次吗,我这就动身！,,0,0,0,0,0,1010,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10024,0,0,0,0,0,40014,3,0,0,0,0,386670,386670,0,0,0,0,0,0,0,0,0,0,1023,0,3,药材差不多齐了！,你都快成高富帅了！,1010,1009,,
1025,鬼嚎森林,"黑魔犬的数量居然大为增加了，请你去彻底铲除他们！

",没问题！,,0,0,0,0,0,1012,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,3,0,0,,0,0,0,0,0,434065,434065,0,0,0,0,0,0,0,0,0,0,1024,0,2,果然身经百战！,0,1012,1010,,
1026,苦痛栈道,在苦痛栈道有凶猛的野兽，我需要确认他是否被腐化了，同时也为了再验证下你的实力，去打败他们！,GO！,,0,0,0,0,0,1012,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,,0,0,0,0,0,485120,485120,0,0,0,0,0,0,0,0,0,0,1025,0,5,看来你的实力已经达到一个新的境界了！,0,1012,1011,,
1027,地狱三头犬,苦痛栈道上有残暴的地狱三头犬和地狱三头犬头目，去清理掉它们保证栈道的安全！,马上！,,0,0,0,0,0,1012,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10027,2,10028,1,0,0,,0,0,0,0,0,539965,539965,0,0,0,0,0,0,0,0,0,0,1026,0,2,这样通过栈道的时候就有安全感了！,0,1012,1011,,
1028,狂怒利刃豹,苦痛栈道上有更加凶恶的 狂怒利刃豹，去击杀它！,好的！,,0,0,0,0,0,1012,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10029,1,0,0,0,0,,0,0,0,0,0,598720,598720,0,0,0,0,0,0,0,0,0,0,1027,0,2,不幸中的万幸，狂怒利刃豹没有被腐化！,0,1012,1011,,
1029,利齿,只有小茜走过全程的苦痛栈道，到达过其他的地方，你可以问她些外面的情况，不过她是个收藏谜，你需要给她狂怒利刃豹的牙齿，她才会告诉你具体的信息。,立刻动身！,,,,,,,1010,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,10029,0,0,0,0,0,40015,1,,,,,,,,,,,,,,,,,1028,0,3,挖，这个是。。是狂怒利刃豹的牙齿，好吧，作为回报，你有什么想知道的，我都会告诉你。, ,1003,1011,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
